nominees,details,award_show,year,award,winner,ref_year
Saoirse Ronan,Lady Bird,Academy Awards,2018,Best Performance by an Actress in a Leading Role,0,3
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",Academy Awards,2018,Best Performance by an Actor in a Supporting Role,1,3
Christopher Plummer,All the Money in the World,Academy Awards,2018,Best Performance by an Actor in a Supporting Role,0,3
Richard Jenkins,The Shape of Water,Academy Awards,2018,Best Performance by an Actor in a Supporting Role,0,3
Willem Dafoe,The Florida Project,Academy Awards,2018,Best Performance by an Actor in a Supporting Role,0,3
Woody Harrelson,"Three Billboards Outside Ebbing, Missouri",Academy Awards,2018,Best Performance by an Actor in a Supporting Role,0,3
Allison Janney,"I, Tonya",Academy Awards,2018,Best Performance by an Actress in a Supporting Role,1,3
Laurie Metcalf,Lady Bird,Academy Awards,2018,Best Performance by an Actress in a Supporting Role,0,3
Lesley Manville,Phantom Thread,Academy Awards,2018,Best Performance by an Actress in a Supporting Role,0,3
Mary J. Blige,Mudbound,Academy Awards,2018,Best Performance by an Actress in a Supporting Role,0,3
Octavia Spencer,The Shape of Water,Academy Awards,2018,Best Performance by an Actress in a Supporting Role,0,3
Guillermo del Toro,The Shape of Water,Academy Awards,2018,Best Achievement in Directing,1,3
Christopher Nolan,Dunkirk,Academy Awards,2018,Best Achievement in Directing,0,3
Greta Gerwig,Lady Bird,Academy Awards,2018,Best Achievement in Directing,0,3
Jordan Peele,Get Out,Academy Awards,2018,Best Achievement in Directing,0,3
Paul Thomas Anderson,Phantom Thread,Academy Awards,2018,Best Achievement in Directing,0,3
Get Out,Jordan Peele,Academy Awards,2018,Best Original Screenplay,1,3
Lady Bird,Greta Gerwig,Academy Awards,2018,Best Original Screenplay,0,3
The Big Sick,"Kumail Nanjiani, Emily V. Gordon",Academy Awards,2018,Best Original Screenplay,0,3
The Shape of Water,"Guillermo del Toro, Vanessa Taylor",Academy Awards,2018,Best Original Screenplay,0,3
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Academy Awards,2018,Best Original Screenplay,0,3
Call Me by Your Name,James Ivory,Academy Awards,2018,Best Adapted Screenplay,1,3
Logan,"Scott Frank, James Mangold, Michael Green",Academy Awards,2018,Best Adapted Screenplay,0,3
Molly's Game,Aaron Sorkin,Academy Awards,2018,Best Adapted Screenplay,0,3
Mudbound,"Dee Rees, Virgil Williams",Academy Awards,2018,Best Adapted Screenplay,0,3
The Disaster Artist,"Scott Neustadter, Michael H. Weber",Academy Awards,2018,Best Adapted Screenplay,0,3
Blade Runner 2049,Roger Deakins,Academy Awards,2018,Best Achievement in Cinematography,1,3
Darkest Hour,Bruno Delbonnel,Academy Awards,2018,Best Achievement in Cinematography,0,3
Dunkirk,Hoyte Van Hoytema,Academy Awards,2018,Best Achievement in Cinematography,0,3
Mudbound,Rachel Morrison,Academy Awards,2018,Best Achievement in Cinematography,0,3
The Shape of Water,Dan Laustsen,Academy Awards,2018,Best Achievement in Cinematography,0,3
Dunkirk,Lee Smith,Academy Awards,2018,Best Achievement in Film Editing,1,3
Baby Driver,"Paul Machliss, Jonathan Amos",Academy Awards,2018,Best Achievement in Film Editing,0,3
"I, Tonya",Tatiana S. Riegel,Academy Awards,2018,Best Achievement in Film Editing,0,3
The Shape of Water,Sidney Wolinsky,Academy Awards,2018,Best Achievement in Film Editing,0,3
"Three Billboards Outside Ebbing, Missouri",Jon Gregory,Academy Awards,2018,Best Achievement in Film Editing,0,3
The Shape of Water,"Paul D. Austerberry, Shane Vieau, Jeffrey A. Melvin",Academy Awards,2018,Best Achievement in Production Design,1,3
Beauty and the Beast,"Sarah Greenwood, Katie Spencer",Academy Awards,2018,Best Achievement in Production Design,0,3
Blade Runner 2049,"Dennis Gassner, Alessandra Querzola",Academy Awards,2018,Best Achievement in Production Design,0,3
Darkest Hour,"Sarah Greenwood, Katie Spencer",Academy Awards,2018,Best Achievement in Production Design,0,3
Dunkirk,"Nathan Crowley, Gary Fettis",Academy Awards,2018,Best Achievement in Production Design,0,3
Phantom Thread,Mark Bridges,Academy Awards,2018,Best Achievement in Costume Design,1,3
Beauty and the Beast,Jacqueline Durran,Academy Awards,2018,Best Achievement in Costume Design,0,3
Darkest Hour,Jacqueline Durran,Academy Awards,2018,Best Achievement in Costume Design,0,3
The Shape of Water,Luis Sequeira,Academy Awards,2018,Best Achievement in Costume Design,0,3
Victoria & Abdul,Consolata Boyle,Academy Awards,2018,Best Achievement in Costume Design,0,3
Darkest Hour,"Kazu Hiro, David Malinowski, Lucy Sibbick",Academy Awards,2018,Best Achievement in Makeup and Hairstyling,1,3
Victoria & Abdul,"Daniel Phillips, Loulia Sheppard",Academy Awards,2018,Best Achievement in Makeup and Hairstyling,0,3
Wonder,Arjen Tuiten,Academy Awards,2018,Best Achievement in Makeup and Hairstyling,0,3
The Shape of Water,Alexandre Desplat,Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Score),1,3
Dunkirk,Hans Zimmer,Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Score),0,3
Phantom Thread,Jonny Greenwood,Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Score),0,3
Star Wars: Episode VIII - The Last Jedi,John Williams,Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Score),0,3
"Three Billboards Outside Ebbing, Missouri",Carter Burwell,Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Score),0,3
Coco,"Kristen Anderson-Lopez, Robert Lopez",Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Song),1,3
Call Me by Your Name,Sufjan Stevens,Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Song),0,3
Marshall,"Common, Diane Warren",Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Song),0,3
Mudbound,"Raphael Saadiq, Mary J. Blige, Taura Stinson",Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Song),0,3
The Greatest Showman,"Benj Pasek, Justin Paul",Academy Awards,2018,Best Achievement in Music Written for Motion Pictures (Original Song),0,3
Dunkirk,"Gregg Landaker, Gary A. Rizzo, Mark Weingarten",Academy Awards,2018,Best Achievement in Sound Mixing,1,3
Baby Driver,"Tim Cavagin, Mary H. Ellis, Julian Slater",Academy Awards,2018,Best Achievement in Sound Mixing,0,3
Blade Runner 2049,"Ron Bartlett, Doug Hemphill, Mac Ruth",Academy Awards,2018,Best Achievement in Sound Mixing,0,3
Star Wars: Episode VIII - The Last Jedi,"Michael Semanick, David Parker, Stuart Wilson, Ren Klyce",Academy Awards,2018,Best Achievement in Sound Mixing,0,3
The Shape of Water,"Christian T. Cooke, Glen Gauthier, Brad Zoern",Academy Awards,2018,Best Achievement in Sound Mixing,0,3
Dunkirk,"Richard King, Alex Gibson",Academy Awards,2018,Best Achievement in Sound Editing,1,3
Baby Driver,Julian Slater,Academy Awards,2018,Best Achievement in Sound Editing,0,3
Blade Runner 2049,"Mark A. Mangini, Theo Green",Academy Awards,2018,Best Achievement in Sound Editing,0,3
Star Wars: Episode VIII - The Last Jedi,"Matthew Wood, Ren Klyce",Academy Awards,2018,Best Achievement in Sound Editing,0,3
The Shape of Water,"Nathan Robitaille, Nelson Ferreira",Academy Awards,2018,Best Achievement in Sound Editing,0,3
Blade Runner 2049,"John Nelson, Gerd Nefzer, Paul Lambert, Richard R. Hoover",Academy Awards,2018,Best Achievement in Visual Effects,1,3
Guardians of the Galaxy Vol. 2,"Christopher Townsend, Guy Williams, Jonathan Fawkner, Daniel Sudick",Academy Awards,2018,Best Achievement in Visual Effects,0,3
Kong: Skull Island,"Stephen Rosenbaum, Jeff White, Scott Benza, Michael Meinardus",Academy Awards,2018,Best Achievement in Visual Effects,0,3
Star Wars: Episode VIII - The Last Jedi,"Ben Morris, Michael Mulholland, Neal Scanlan, Chris Corbould",Academy Awards,2018,Best Achievement in Visual Effects,0,3
War for the Planet of the Apes,"Joe Letteri, Daniel Barrett, Dan Lemmon, Joel Whist",Academy Awards,2018,Best Achievement in Visual Effects,0,3
Icarus,"Bryan Fogel, Dan Cogan",Academy Awards,2018,Best Documentary Feature,1,3
Abacus: Small Enough to Jail,"Steve James, Mark Mitten, Julie Goldman",Academy Awards,2018,Best Documentary Feature,0,3
Faces Places,"Agnès Varda, Rosalie Varda, JR",Academy Awards,2018,Best Documentary Feature,0,3
Last Men in Aleppo,"Kareem Abeed, Søren Steen Jespersen, Feras Fayyad",Academy Awards,2018,Best Documentary Feature,0,3
Strong Island,"Yance Ford, Joslyn Barnes",Academy Awards,2018,Best Documentary Feature,0,3
Heaven Is a Traffic Jam on the 405,Frank Stiefel,Academy Awards,2018,Best Documentary Short Subject,1,3
Edith+Eddie,"Laura Checkoway, Thomas Lee Wright",Academy Awards,2018,Best Documentary Short Subject,0,3
Heroin(e),"Elaine McMillion Sheldon, Curren Sheldon",Academy Awards,2018,Best Documentary Short Subject,0,3
Knife Skills,Thomas Lennon,Academy Awards,2018,Best Documentary Short Subject,0,3
Traffic Stop,"Kate Davis, David Heilbroner",Academy Awards,2018,Best Documentary Short Subject,0,3
Coco,"Lee Unkrich, Darla K. Anderson",Academy Awards,2018,Best Animated Feature Film,1,3
Ferdinand,Carlos Saldanha,Academy Awards,2018,Best Animated Feature Film,0,3
Loving Vincent,"Dorota Kobiela, Hugh Welchman, Ivan Mactaggart",Academy Awards,2018,Best Animated Feature Film,0,3
The Boss Baby,"Tom McGrath, Ramsey Ann Naito",Academy Awards,2018,Best Animated Feature Film,0,3
The Breadwinner,"Nora Twomey, Anthony Leo",Academy Awards,2018,Best Animated Feature Film,0,3
Dear Basketball,"Glen Keane, Kobe Bryant",Academy Awards,2018,Best Animated Short Film,1,3
Garden Party,"Victor Caire, Gabriel Grapperon",Academy Awards,2018,Best Animated Short Film,0,3
Lou,"Dave Mullins, Dana Murray",Academy Awards,2018,Best Animated Short Film,0,3
Negative Space,"Max Porter, Ru Kuwahata",Academy Awards,2018,Best Animated Short Film,0,3
Revolting Rhymes Part One,"Jakob Schuh, Jan Lachauer",Academy Awards,2018,Best Animated Short Film,0,3
The Silent Child,"Chris Overton, Rachel Shenton",Academy Awards,2018,Best Live Action Short Film,1,3
DeKalb Elementary,Reed Van Dyk,Academy Awards,2018,Best Live Action Short Film,0,3
My Nephew Emmett,Kevin Wilson Jr.,Academy Awards,2018,Best Live Action Short Film,0,3
The Eleven O'Clock,"Derin Seale, Josh Lawson",Academy Awards,2018,Best Live Action Short Film,0,3
Watu Wote: All of us,"Katja Benrath, Tobias Rosen",Academy Awards,2018,Best Live Action Short Film,0,3
A Fantastic Woman,,Academy Awards,2018,Best Foreign Language Film of the Year,1,3
Loveless,,Academy Awards,2018,Best Foreign Language Film of the Year,0,3
On Body and Soul,,Academy Awards,2018,Best Foreign Language Film of the Year,0,3
The Insult,,Academy Awards,2018,Best Foreign Language Film of the Year,0,3
The Square,,Academy Awards,2018,Best Foreign Language Film of the Year,0,3
Moonlight,"Dede Gardner, Jeremy Kleiner, Adele Romanski",Academy Awards,2017,Best Motion Picture of the Year,1,4
Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, David Linde",Academy Awards,2017,Best Motion Picture of the Year,0,4
Fences,"Todd Black, Scott Rudin, Denzel Washington",Academy Awards,2017,Best Motion Picture of the Year,0,4
Hacksaw Ridge,"Bill Mechanic, David Permut",Academy Awards,2017,Best Motion Picture of the Year,0,4
Hell or High Water,"Carla Hacken, Julie Yorn",Academy Awards,2017,Best Motion Picture of the Year,0,4
Hidden Figures,"Peter Chernin, Donna Gigliotti, Theodore Melfi, Jenno Topping, Pharrell Williams",Academy Awards,2017,Best Motion Picture of the Year,0,4
La La Land,"Fred Berger, Jordan Horowitz, Marc Platt",Academy Awards,2017,Best Motion Picture of the Year,0,4
Lion,"Iain Canning, Angie Fielder, Emile Sherman",Academy Awards,2017,Best Motion Picture of the Year,0,4
Manchester by the Sea,"Lauren Beck, Matt Damon, Kimberly Steward, Chris Moore, Kevin J. Walsh",Academy Awards,2017,Best Motion Picture of the Year,0,4
Casey Affleck,Manchester by the Sea,Academy Awards,2017,Best Performance by an Actor in a Leading Role,1,4
Andrew Garfield,Hacksaw Ridge,Academy Awards,2017,Best Performance by an Actor in a Leading Role,0,4
Denzel Washington,Fences,Academy Awards,2017,Best Performance by an Actor in a Leading Role,0,4
Ryan Gosling,La La Land,Academy Awards,2017,Best Performance by an Actor in a Leading Role,0,4
Viggo Mortensen,Captain Fantastic,Academy Awards,2017,Best Performance by an Actor in a Leading Role,0,4
Emma Stone,La La Land,Academy Awards,2017,Best Performance by an Actress in a Leading Role,1,4
Isabelle Huppert,Elle,Academy Awards,2017,Best Performance by an Actress in a Leading Role,0,4
Meryl Streep,Florence Foster Jenkins,Academy Awards,2017,Best Performance by an Actress in a Leading Role,0,4
Natalie Portman,Jackie,Academy Awards,2017,Best Performance by an Actress in a Leading Role,0,4
Ruth Negga,Loving,Academy Awards,2017,Best Performance by an Actress in a Leading Role,0,4
Mahershala Ali,Moonlight,Academy Awards,2017,Best Performance by an Actor in a Supporting Role,1,4
Dev Patel,Lion,Academy Awards,2017,Best Performance by an Actor in a Supporting Role,0,4
Jeff Bridges,Hell or High Water,Academy Awards,2017,Best Performance by an Actor in a Supporting Role,0,4
Lucas Hedges,Manchester by the Sea,Academy Awards,2017,Best Performance by an Actor in a Supporting Role,0,4
Michael Shannon,Nocturnal Animals,Academy Awards,2017,Best Performance by an Actor in a Supporting Role,0,4
Viola Davis,Fences,Academy Awards,2017,Best Performance by an Actress in a Supporting Role,1,4
Michelle Williams,Manchester by the Sea,Academy Awards,2017,Best Performance by an Actress in a Supporting Role,0,4
Naomie Harris,Moonlight,Academy Awards,2017,Best Performance by an Actress in a Supporting Role,0,4
Nicole Kidman,Lion,Academy Awards,2017,Best Performance by an Actress in a Supporting Role,0,4
Octavia Spencer,Hidden Figures,Academy Awards,2017,Best Performance by an Actress in a Supporting Role,0,4
Damien Chazelle,La La Land,Academy Awards,2017,Best Achievement in Directing,1,4
Barry Jenkins,Moonlight,Academy Awards,2017,Best Achievement in Directing,0,4
Denis Villeneuve,Arrival,Academy Awards,2017,Best Achievement in Directing,0,4
Kenneth Lonergan,Manchester by the Sea,Academy Awards,2017,Best Achievement in Directing,0,4
Mel Gibson,Hacksaw Ridge,Academy Awards,2017,Best Achievement in Directing,0,4
Manchester by the Sea,Kenneth Lonergan,Academy Awards,2017,Best Original Screenplay,1,4
20th Century Women,Mike Mills,Academy Awards,2017,Best Original Screenplay,0,4
Hell or High Water,Taylor Sheridan,Academy Awards,2017,Best Original Screenplay,0,4
La La Land,Damien Chazelle,Academy Awards,2017,Best Original Screenplay,0,4
The Lobster,"Yorgos Lanthimos, Efthymis Filippou",Academy Awards,2017,Best Original Screenplay,0,4
Moonlight,"Barry Jenkins (screenplay), Tarell Alvin McCraney (story)",Academy Awards,2017,Best Adapted Screenplay,1,4
Arrival,Eric Heisserer,Academy Awards,2017,Best Adapted Screenplay,0,4
Fences,August Wilson,Academy Awards,2017,Best Adapted Screenplay,0,4
Hidden Figures,"Allison Schroeder, Theodore Melfi",Academy Awards,2017,Best Adapted Screenplay,0,4
Lion,Luke Davies,Academy Awards,2017,Best Adapted Screenplay,0,4
La La Land,Linus Sandgren,Academy Awards,2017,Best Achievement in Cinematography,1,4
Arrival,Bradford Young,Academy Awards,2017,Best Achievement in Cinematography,0,4
Lion,Greig Fraser,Academy Awards,2017,Best Achievement in Cinematography,0,4
Moonlight,James Laxton,Academy Awards,2017,Best Achievement in Cinematography,0,4
Silence,Rodrigo Prieto,Academy Awards,2017,Best Achievement in Cinematography,0,4
Hacksaw Ridge,John Gilbert,Academy Awards,2017,Best Achievement in Film Editing,1,4
Arrival,Joe Walker,Academy Awards,2017,Best Achievement in Film Editing,0,4
Hell or High Water,Jake Roberts,Academy Awards,2017,Best Achievement in Film Editing,0,4
La La Land,Tom Cross,Academy Awards,2017,Best Achievement in Film Editing,0,4
Moonlight,"Joi McMillon, Nat Sanders",Academy Awards,2017,Best Achievement in Film Editing,0,4
La La Land,"David Wasco (production design), Sandy Reynolds-Wasco (set decoration)",Academy Awards,2017,Best Achievement in Production Design,1,4
Arrival,"Patrice Vermette (production design), Paul Hotte (set decoration)",Academy Awards,2017,Best Achievement in Production Design,0,4
Fantastic Beasts and Where to Find Them,"Stuart Craig (production design), Anna Pinnock (set decoration)",Academy Awards,2017,Best Achievement in Production Design,0,4
"Hail, Caesar!","Jess Gonchor (production design), Nancy Haigh (set decoration)",Academy Awards,2017,Best Achievement in Production Design,0,4
Passengers,"Guy Hendrix Dyas (production design), Gene Serdena (set decoration)",Academy Awards,2017,Best Achievement in Production Design,0,4
Fantastic Beasts and Where to Find Them,Colleen Atwood,Academy Awards,2017,Best Achievement in Costume Design,1,4
Allied,Joanna Johnston,Academy Awards,2017,Best Achievement in Costume Design,0,4
Florence Foster Jenkins,Consolata Boyle,Academy Awards,2017,Best Achievement in Costume Design,0,4
Jackie,Madeline Fontaine,Academy Awards,2017,Best Achievement in Costume Design,0,4
La La Land,Mary Zophres,Academy Awards,2017,Best Achievement in Costume Design,0,4
Suicide Squad,"Alessandro Bertolazzi, Giorgio Gregorini, Christopher Allen Nelson",Academy Awards,2017,Best Achievement in Makeup and Hairstyling,1,4
A Man Called Ove,"Eva Von Bahr, Love Larson",Academy Awards,2017,Best Achievement in Makeup and Hairstyling,0,4
Star Trek Beyond,"Joel Harlow, Richard Alonzo",Academy Awards,2017,Best Achievement in Makeup and Hairstyling,0,4
